time,ax,ay,az,atotal
0.000,0.15,0.10,0.48,0.51
0.010,0.10,0.01,0.27,0.29
0.020,-0.05,-0.02,0.12,0.13
0.030,-0.12,-0.06,-0.08,0.15
0.040,-0.15,-0.10,-0.34,0.38
0.050,-0.15,-0.11,-0.47,0.50
0.060,-0.15,-0.12,-0.49,0.53
0.069,-0.15,-0.15,-0.50,0.54
0.080,-0.13,-0.11,-0.38,0.42
0.089,-0.08,-0.06,-0.24,0.26
0.099,-0.04,-0.01,-0.12,0.12
0.109,0.05,0.02,0.01,0.05
0.119,0.03,0.02,0.13,0.14
0.129,-0.02,-0.05,0.24,0.25
0.139,-0.08,-0.08,0.30,0.32
0.149,-0.11,-0.08,0.29,0.32
0.159,-0.02,-0.05,0.19,0.20
0.169,0.05,0.02,-0.00,0.05
0.179,0.04,0.03,-0.16,0.16
0.189,-0.05,0.03,-0.26,0.26
0.199,-0.11,-0.01,-0.31,0.33
0.209,-0.18,-0.03,-0.31,0.36
0.219,-0.15,-0.03,-0.26,0.31
0.229,-0.07,0.02,-0.15,0.17
0.239,-0.02,0.02,-0.06,0.06
0.248,0.03,0.05,0.02,0.06
0.259,0.06,0.02,0.12,0.14
0.268,0.05,-0.01,0.14,0.15
0.278,0.03,-0.01,0.12,0.13
0.288,0.02,-0.01,0.10,0.10
0.298,0.01,-0.02,0.09,0.09
0.308,-0.01,-0.03,0.05,0.06
0.318,0.01,-0.03,-0.03,0.05
0.328,-0.01,-0.02,-0.08,0.08
0.338,-0.04,-0.02,-0.06,0.08
0.348,-0.04,-0.04,-0.02,0.06
0.358,-0.03,-0.04,-0.06,0.08
0.368,-0.00,-0.00,-0.09,0.09
0.378,-0.05,0.02,-0.11,0.12
0.388,-0.06,0.01,-0.12,0.14
0.398,-0.04,-0.02,-0.11,0.12
0.408,-0.03,-0.02,-0.01,0.04
0.418,-0.03,-0.06,0.03,0.07
0.428,-0.03,-0.08,0.03,0.09
0.438,-0.01,-0.05,-0.01,0.05
0.448,-0.02,-0.03,-0.07,0.08
0.458,-0.06,-0.05,-0.09,0.12
0.467,-0.08,-0.07,-0.10,0.14
0.477,-0.07,-0.04,-0.13,0.15
0.487,-0.04,-0.03,-0.15,0.16
0.497,-0.06,-0.01,-0.13,0.14
0.507,-0.04,0.00,-0.08,0.09
0.517,-0.03,0.01,0.01,0.03
0.527,-0.04,0.01,0.08,0.09
0.537,-0.07,0.02,0.12,0.15
0.547,-0.07,0.03,0.12,0.14
0.557,-0.06,0.04,0.09,0.12
0.567,-0.03,0.03,0.09,0.10
0.577,-0.01,0.03,0.05,0.06
0.587,0.00,0.03,0.00,0.03
0.597,-0.02,0.01,-0.03,0.04
0.607,-0.03,-0.01,-0.04,0.05
0.617,-0.03,-0.03,-0.04,0.06
0.627,-0.02,-0.06,-0.05,0.08
0.637,-0.03,-0.06,-0.10,0.12
0.646,-0.03,-0.06,-0.09,0.11
0.656,-0.04,-0.06,-0.04,0.08
0.666,0.00,-0.06,-0.04,0.08
0.676,0.03,-0.03,-0.05,0.06
0.686,0.07,0.02,-0.06,0.09
0.696,0.05,0.04,-0.04,0.07
0.706,0.01,0.01,-0.01,0.02
0.716,-0.03,-0.00,-0.02,0.03
0.726,-0.04,0.03,-0.07,0.08
