time,ax,ay,az,atotal
0.000,-0.13,-0.97,1.06,1.44
0.010,-0.62,-0.74,1.14,1.49
0.020,-0.85,-0.57,1.11,1.51
0.030,-0.90,-0.60,0.87,1.39
0.040,-0.78,-0.64,0.74,1.25
0.050,-0.59,-0.65,0.59,1.05
0.060,-0.52,-0.58,0.46,0.91
0.070,-0.48,-0.61,0.42,0.89
0.080,-0.45,-0.70,0.38,0.91
0.090,-0.36,-0.81,0.35,0.95
0.100,-0.29,-0.93,0.39,1.05
0.110,-0.31,-1.06,0.41,1.18
0.119,-0.31,-1.11,0.46,1.24
0.130,-0.22,-1.15,0.50,1.27
0.140,-0.09,-1.26,0.42,1.33
0.149,0.02,-1.35,0.39,1.40
0.159,0.09,-1.41,0.37,1.46
0.169,0.11,-1.34,0.44,1.41
0.179,0.17,-1.27,0.52,1.38
0.189,0.33,-1.14,0.58,1.32
0.199,0.51,-1.03,0.72,1.36
0.209,0.68,-1.11,0.90,1.59
0.219,0.99,-1.19,1.02,1.85
0.229,1.31,-1.19,1.17,2.12
0.239,1.42,-1.26,1.47,2.40
0.249,1.15,-0.94,1.29,1.96
0.259,0.50,-0.30,0.85,1.03
0.269,0.51,-0.50,0.85,1.11
0.279,1.06,-0.84,0.81,1.57
0.289,1.21,-0.90,0.74,1.68
0.298,0.90,-1.01,0.85,1.59
0.309,0.63,-0.78,0.83,1.31
0.318,0.47,-0.40,0.87,1.07
0.329,0.45,-0.40,0.73,0.95
0.338,0.43,-0.75,0.47,0.98
0.348,0.35,-0.88,0.42,1.04
0.358,0.26,-0.87,0.65,1.11
0.368,0.24,-0.82,0.84,1.20
0.378,0.21,-1.03,1.10,1.52
0.388,0.27,-1.30,1.34,1.89
0.398,0.26,-1.54,1.43,2.12
0.408,0.23,-1.77,1.48,2.32
0.418,0.18,-1.87,1.40,2.35
0.428,0.11,-1.86,1.17,2.20
0.438,0.00,-1.95,0.93,2.15
0.448,-0.08,-2.00,0.71,2.12
0.458,-0.20,-2.04,0.51,2.12
0.468,-0.33,-2.11,0.39,2.17
0.478,-0.34,-2.16,0.30,2.21
0.488,-0.39,-2.10,0.26,2.15
0.497,-0.43,-2.17,0.17,2.22
0.508,-0.48,-2.29,-0.01,2.34
0.517,-0.44,-2.27,-0.06,2.31
0.527,-0.49,-2.21,-0.07,2.27
0.537,-0.49,-2.12,-0.45,2.22
0.547,-0.39,-1.94,-0.74,2.11
0.557,-0.33,-1.84,-0.69,1.99
0.567,-0.18,-1.80,-0.44,1.86
0.577,-0.50,-1.69,-0.30,1.79
0.587,-0.47,-1.53,-0.20,1.61
0.597,-0.22,-1.47,-0.04,1.49
0.607,-0.03,-1.59,0.14,1.60
0.617,0.05,-1.64,0.33,1.68
0.627,0.08,-1.64,0.57,1.74
0.637,0.19,-1.53,0.85,1.76
0.647,-0.08,-1.30,0.59,1.43
0.657,-0.14,-1.96,0.65,2.07
0.667,0.40,-1.85,0.80,2.05
0.677,0.71,-1.70,0.55,1.92
0.687,0.73,-1.96,0.36,2.12
0.696,0.77,-2.31,0.31,2.46
0.706,0.88,-2.38,0.25,2.55
0.716,0.99,-1.86,0.44,2.15
0.726,0.94,-1.47,0.63,1.85
0.736,0.63,-1.29,0.90,1.70
0.746,0.11,-0.99,1.24,1.59
0.756,-0.47,-0.56,1.40,1.58
0.766,-0.65,-0.27,1.95,2.07
0.776,-0.49,-0.29,2.51,2.57
0.786,-0.17,-0.60,2.59,2.66
0.796,-0.59,-0.62,2.24,2.40
0.806,-0.54,-0.33,1.76,1.87
0.816,0.20,-0.43,1.45,1.52
0.826,0.34,-1.05,1.20,1.63
0.836,0.42,-1.82,0.85,2.05
0.846,1.45,-1.42,0.17,2.03
0.855,0.43,-1.51,-0.16,1.58
0.866,-0.28,-1.30,0.51,1.43
0.875,-0.19,-1.02,0.56,1.18
0.885,-0.04,-0.99,0.55,1.13
0.895,0.53,-1.27,0.80,1.59
0.905,1.09,-1.98,0.73,2.37
0.915,0.92,-2.31,0.52,2.54
0.925,0.56,-2.74,0.20,2.80
0.935,0.64,-2.66,0.09,2.74
0.945,0.70,-2.80,0.18,2.90
0.955,0.06,-3.11,3.74,4.86
0.965,1.03,-3.04,1.20,3.43
0.975,1.76,-2.23,2.99,4.13
0.985,1.09,-0.41,4.09,4.25
0.995,1.27,1.44,2.93,3.50
1.005,-0.02,2.23,1.59,2.74
1.015,-0.33,1.95,0.51,2.04
1.025,-0.94,1.38,0.21,1.68
1.035,-1.88,0.75,-0.04,2.03
1.045,-2.11,-0.22,0.13,2.13
1.054,-1.31,-1.49,0.11,1.98
1.065,0.06,-2.24,0.69,2.35
1.074,1.23,-2.32,1.64,3.09
1.084,1.85,-2.13,2.06,3.49
1.094,2.12,-1.90,1.89,3.42
1.104,2.09,-1.79,1.34,3.06
1.114,1.85,-1.93,1.13,2.90
1.124,1.41,-2.25,1.04,2.85
1.134,1.25,-2.70,0.75,3.06
1.144,0.77,-3.02,1.34,3.39
1.154,-0.55,-3.07,1.04,3.29
1.164,-1.30,-2.74,0.21,3.04
1.174,-1.16,-2.47,0.07,2.73
1.184,-0.36,-3.06,-0.16,3.09
1.194,-0.11,-3.60,-0.34,3.61
1.204,-0.62,-3.53,0.02,3.59
1.214,-1.03,-3.47,0.19,3.63
1.224,-1.27,-3.29,0.24,3.54
1.233,-1.45,-2.76,0.14,3.12
1.244,-2.13,-1.97,0.03,2.90
1.253,-2.81,-1.82,-0.31,3.36
1.263,-2.85,-2.59,-0.67,3.91
1.273,-2.19,-3.34,-0.69,4.05
1.283,-1.59,-3.51,-0.27,3.86
1.293,-0.46,-2.12,0.82,2.32
1.303,-0.47,-2.65,1.05,2.89
1.313,0.04,-2.63,1.55,3.05
1.323,0.96,-2.33,2.22,3.36
1.333,1.75,-2.30,2.98,4.15
1.343,2.38,-2.10,3.57,4.78
1.353,2.79,-1.81,3.84,5.08
1.363,2.53,-1.40,3.81,4.79
1.373,1.31,-0.96,3.39,3.76
1.383,0.37,-0.55,2.55,2.63
1.393,0.65,-0.41,2.14,2.27
1.403,1.29,-0.43,2.45,2.80
1.413,1.57,-0.45,3.03,3.45
1.423,1.32,-0.63,3.28,3.60
1.432,0.64,-0.71,3.37,3.50
1.442,0.42,0.04,3.72,3.74
1.452,0.70,0.46,3.66,3.76
1.462,1.02,0.36,3.42,3.58
1.472,1.11,0.35,3.07,3.28
1.482,0.94,0.56,2.64,2.86
1.492,1.31,0.95,0.14,1.62
1.502,4.40,2.64,-11.61,12.70
1.512,1.51,1.85,-1.36,2.75
1.522,1.13,1.47,-0.06,1.86
1.532,0.33,1.01,0.15,1.07
1.542,-0.68,1.26,1.21,1.87
1.552,-0.98,1.98,1.01,2.43
1.562,-0.95,1.47,0.55,1.84
1.572,-0.54,0.63,0.57,1.01
1.582,0.04,0.51,0.98,1.11
1.592,1.08,0.61,0.93,1.55
1.602,1.82,0.42,0.87,2.06
1.611,2.35,0.00,0.89,2.51
1.622,2.55,-0.42,1.30,2.90
1.631,1.99,-0.71,1.68,2.70
1.642,0.30,-1.27,3.21,3.47
1.651,-0.65,-2.14,4.37,4.91
1.661,-0.75,-2.42,3.64,4.43
1.671,-0.34,-2.23,2.76,3.57
1.681,0.58,-2.13,2.23,3.14
1.691,1.49,-2.01,1.58,2.96
1.701,2.08,-2.04,0.86,3.04
1.711,2.34,-2.28,0.54,3.31
1.721,1.96,-2.42,0.27,3.12
1.731,1.06,-2.33,0.12,2.56
1.741,0.41,-2.06,0.38,2.13
1.751,-0.44,-1.74,0.82,1.98
1.761,-1.45,-1.66,0.85,2.36
1.771,-2.26,-1.64,0.66,2.87
1.781,-3.00,-1.48,0.65,3.41
1.790,-3.46,-1.26,0.79,3.76
1.801,-3.54,-0.97,0.28,3.68
1.810,-2.68,-0.55,-2.02,3.40
1.820,2.47,0.68,-4.73,5.38
1.830,6.37,1.78,-6.60,9.35
1.840,6.01,2.14,-6.22,8.90
1.850,3.58,2.27,-3.36,5.41
1.860,0.92,1.59,-0.73,1.97
1.870,-0.70,0.51,-0.19,0.89
1.880,-3.24,-0.21,-1.20,3.47
1.890,-7.01,-0.77,-0.28,7.06
1.900,-6.14,-2.13,1.23,6.61
1.910,-0.11,-1.71,2.69,3.19
1.920,5.56,-0.06,4.36,7.07
1.930,6.95,-0.05,5.16,8.66
1.940,6.25,-0.54,5.72,8.49
1.950,6.77,0.03,3.37,7.56
1.960,5.54,0.29,0.95,5.63
1.970,1.86,0.23,-0.28,1.89
1.980,0.22,0.47,-0.56,0.77
1.990,0.04,0.89,-0.09,0.89
2.000,-0.28,1.49,0.23,1.53
2.009,-0.15,1.30,-0.12,1.31
2.019,0.59,1.31,0.12,1.44
2.029,2.07,1.80,0.64,2.81
2.039,1.64,1.27,1.22,2.41
2.049,0.32,0.27,1.52,1.58
2.059,0.56,0.35,1.27,1.43
2.069,0.11,0.15,1.23,1.25
2.079,-0.17,0.11,0.72,0.75
2.089,0.22,0.52,-0.34,0.66
2.099,1.59,0.38,0.11,1.64
2.109,0.69,1.13,-0.30,1.36
2.119,-0.07,3.00,-3.13,4.34
2.129,0.89,1.87,-2.97,3.62
2.139,1.32,0.84,-1.19,1.97
2.148,0.75,-0.42,1.12,1.41
2.159,0.24,-2.13,3.05,3.73
2.169,-0.07,-2.60,2.50,3.61
2.179,0.22,-2.67,1.15,2.91
2.188,0.62,-2.93,0.89,3.12
2.198,0.50,-3.56,0.86,3.70
2.208,0.93,-3.69,-0.12,3.81
2.218,1.13,-2.99,-0.31,3.21
2.228,0.44,-3.91,1.07,4.08
2.238,-0.20,-3.98,0.98,4.10
2.248,-0.33,-2.44,0.65,2.55
2.258,0.30,-1.44,0.58,1.58
2.268,0.27,-1.15,0.27,1.21
2.278,0.52,-0.75,0.05,0.91
2.288,0.63,-0.57,0.14,0.86
2.298,0.98,-0.19,0.08,1.00
2.308,0.28,-1.17,0.99,1.55
2.318,0.31,-0.06,0.28,0.43
2.328,0.44,1.55,1.25,2.04
2.338,-0.08,-0.95,2.03,2.24
2.347,-0.56,-1.51,1.14,1.97
2.358,-0.06,-0.45,0.96,1.06
2.367,0.21,-0.34,1.21,1.28
2.378,0.42,-0.59,1.23,1.42
2.387,0.66,-0.70,1.34,1.65
2.397,0.29,-1.57,0.85,1.81
2.407,1.58,-0.12,1.12,1.94
2.417,1.42,0.50,1.15,1.89
2.427,0.92,-0.26,0.98,1.37
2.437,0.87,-0.83,1.05,1.60
2.447,0.99,-1.00,1.21,1.86
2.457,0.72,-1.00,1.00,1.59
2.467,0.58,-0.80,0.87,1.32
2.477,0.68,-0.73,0.93,1.36
2.487,0.68,-0.62,0.90,1.29
2.497,0.88,-0.43,0.45,1.08
2.507,0.36,-1.29,1.68,2.15
2.517,1.06,-0.24,1.93,2.21
2.526,1.31,0.30,0.79,1.56
2.537,1.42,0.01,0.97,1.72
2.546,1.25,-0.31,1.05,1.66
2.557,0.76,-0.62,0.88,1.32
2.566,0.66,-0.82,1.57,1.89
2.576,0.69,-0.84,1.54,1.88
2.586,0.55,-0.47,1.29,1.47
2.596,0.57,-0.50,1.24,1.46
2.606,0.46,-0.16,1.17,1.27
2.616,0.39,0.06,0.99,1.07
2.626,1.27,1.22,0.87,1.97
2.636,1.96,1.25,0.76,2.44
2.646,2.14,-0.23,1.27,2.49
2.656,2.30,0.62,1.83,3.00
2.666,2.01,2.85,1.35,3.74
2.676,1.78,5.61,0.02,5.89
2.686,1.43,6.48,-0.54,6.66
2.696,-0.97,4.96,-1.02,5.15
2.706,-2.89,1.48,-0.33,3.26
2.716,-1.38,-1.01,0.16,1.72
2.726,-0.84,1.33,-0.24,1.60
2.736,0.85,5.59,-1.46,5.83
2.745,0.19,7.84,1.46,7.98
2.756,-1.20,6.98,4.11,8.19
2.765,-0.54,0.84,0.20,1.02
2.775,-1.41,-1.95,0.20,2.42
2.785,-0.01,-3.04,0.69,3.12
2.795,-2.32,-1.49,-2.62,3.80
2.805,-2.79,0.43,-0.15,2.83
2.815,-1.82,-0.23,1.00,2.09
2.825,-0.81,0.13,1.48,1.70
2.835,-0.16,2.19,2.10,3.04
2.845,0.45,4.13,1.73,4.50
2.855,-0.60,5.28,1.66,5.57
2.865,-2.22,5.99,0.27,6.40
2.875,-1.25,0.92,0.29,1.58
2.885,0.35,-3.81,0.41,3.84
2.895,1.05,-4.87,2.67,5.65
2.904,1.96,-6.12,4.66,7.94
2.915,1.89,-13.59,0.66,13.74
2.924,1.54,-20.38,-2.46,20.58
2.935,3.80,-14.16,-3.83,15.15
2.944,6.10,-6.70,-1.58,9.20
2.955,2.09,-5.94,1.67,6.52
2.964,0.35,-5.26,3.69,6.44
2.974,0.19,-4.60,-0.31,4.62
2.984,1.51,-5.02,0.95,5.33
2.994,1.60,-4.32,0.26,4.61
3.004,2.00,-3.98,0.14,4.46
3.014,1.60,-3.19,0.75,3.65
3.024,0.64,-2.32,1.10,2.65
3.034,0.31,-1.97,1.27,2.36
3.044,0.12,-1.52,1.30,2.00
3.054,0.15,-0.79,1.63,1.82
3.064,0.87,-0.30,4.15,4.26
3.074,1.55,-1.94,2.44,3.48
3.084,0.29,0.45,-2.30,2.36
3.094,-0.46,2.16,-2.81,3.57
3.103,0.23,0.84,-0.12,0.88
3.113,1.00,-0.37,1.91,2.19
3.123,1.12,-0.32,1.33,1.77
3.133,1.10,-0.38,0.84,1.44
3.143,0.87,-0.60,0.85,1.36
3.153,0.60,-0.57,0.73,1.11
3.163,0.42,-0.51,0.70,0.97
3.173,0.38,-0.39,0.43,0.69
3.183,0.37,-0.47,0.38,0.71
3.193,0.12,-0.49,0.63,0.81
3.203,-0.08,-0.57,1.01,1.17
3.214,-0.19,-0.64,1.09,1.28
3.223,-0.25,-0.65,1.05,1.26
3.233,-0.30,-0.65,1.08,1.30
3.243,-0.21,-0.65,1.09,1.29
3.253,0.02,-0.73,0.97,1.22
3.263,0.33,-0.94,0.92,1.36
3.273,0.63,-1.04,1.05,1.60
3.282,0.71,-1.09,1.33,1.87
3.293,0.72,-1.11,1.55,2.03
3.302,0.63,-1.07,1.68,2.09
3.312,0.44,-0.90,1.79,2.05
3.322,0.20,-0.72,1.80,1.95
3.332,0.08,-0.56,1.63,1.73
3.342,0.16,-0.41,1.38,1.45
3.352,0.44,-0.34,1.13,1.26
3.362,0.75,-0.37,0.97,1.28
3.372,1.02,-0.55,0.99,1.52
3.382,1.17,-0.74,1.13,1.79
3.392,1.17,-0.80,1.29,1.91
3.402,0.94,-0.66,1.34,1.76
3.412,0.47,-0.57,1.39,1.58
3.422,0.21,-0.46,1.38,1.47
3.432,0.09,-0.34,1.33,1.38
3.442,0.04,-0.32,1.39,1.43
3.452,0.22,-0.34,1.41,1.47
3.462,0.54,-0.47,1.43,1.60
3.472,0.88,-0.71,1.47,1.85
3.481,1.13,-0.95,1.44,2.06
3.491,1.24,-1.04,1.35,2.11
3.501,1.06,-1.08,1.38,2.05
3.511,0.78,-1.07,1.46,1.97
3.521,0.85,-0.97,1.29,1.82
3.531,1.04,-0.81,0.76,1.52
3.541,1.15,-0.81,0.40,1.47
3.551,1.51,-0.97,0.35,1.83
3.561,1.93,-1.13,0.20,2.24
3.571,2.28,-1.34,-0.06,2.64
3.581,2.43,-1.53,-0.17,2.88
3.591,2.42,-1.59,-0.11,2.90
3.601,2.17,-1.47,-0.06,2.63
3.611,1.56,-1.48,0.30,2.17
3.621,1.05,-1.48,0.80,1.98
3.631,0.69,-1.24,0.92,1.69
3.641,0.46,-0.93,0.86,1.35
3.651,0.49,-0.85,0.83,1.28
3.660,0.71,-1.17,0.98,1.68
3.670,1.14,-1.45,1.02,2.10
3.681,1.40,-1.63,1.09,2.41
3.690,1.74,-1.75,1.16,2.73
3.700,1.97,-1.77,1.08,2.86
3.710,2.08,-1.75,1.14,2.95
3.720,2.15,-1.58,1.20,2.93
3.730,2.16,-1.24,1.20,2.77
3.740,1.96,-0.93,1.20,2.48
3.750,1.63,-0.66,1.26,2.16
3.760,1.20,-0.41,1.35,1.85
3.770,0.71,-0.28,1.38,1.57
3.780,0.32,-0.19,1.31,1.36
3.790,0.03,-0.23,1.28,1.30
3.800,-0.21,-0.34,1.29,1.36
3.810,-0.25,-0.41,1.23,1.32
3.820,-0.21,-0.58,1.16,1.31
3.830,-0.18,-0.75,1.20,1.43
3.840,-0.20,-0.88,1.32,1.60
3.850,-0.21,-0.99,1.47,1.79
3.859,-0.11,-0.98,1.46,1.77
3.869,-0.12,-1.00,1.45,1.77
3.879,-0.09,-0.86,1.44,1.68
3.889,-0.16,-0.65,1.60,1.73
3.899,-0.16,-0.59,1.86,1.96
3.909,-0.00,-0.60,1.83,1.92
3.919,0.08,-0.64,1.72,1.84
3.929,0.26,-0.59,1.59,1.72
3.939,0.36,-0.70,1.60,1.78
3.949,0.56,-0.90,1.66,1.97
3.959,0.86,-1.08,1.61,2.12
3.969,1.06,-1.17,1.47,2.16
3.979,1.17,-1.22,1.47,2.24
3.989,1.13,-1.17,1.53,2.24
3.999,1.00,-1.07,1.57,2.15
4.009,0.76,-1.00,1.70,2.11
4.019,0.56,-0.89,1.80,2.08
